-------------------------,Round_1,-------------------------,-------------------------
2024-07-10_15-54-07,320*240,147,10.3595
2024-07-11_14-13-12,320*240,278,7.09514
2024-07-11_14-05-35,320*240,234,21.7005
2024-07-11_14-17-18,320*240,227,7.62954
2024-07-10_15-53-12,320*240,150,11.0994
2024-07-11_14-06-07,320*240,256,7.28853
2024-07-10_15-51-45,320*240,101,19.4525
2024-07-10_15-38-54,320*240,257,16.2525
2024-07-10_15-51-21,320*240,99,12.1704
2024-07-11_14-04-22,320*240,370,6.28607
2024-07-11_14-17-59,320*240,190,2.64273
2024-07-10_15-52-37,320*240,102,6.79454
2024-07-10_15-50-55,320*240,126,10.4005
2024-07-10_15-48-15,320*240,139,16.9154
2024-07-10_15-43-03,320*240,134,10.6564
2024-07-11_14-15-08,320*240,165,10.2711
2024-07-11_14-13-51,320*240,225,8.4633
2024-07-11_14-18-28,320*240,194,12.4891
2024-07-10_15-41-46,320*240,233,5.79928
2024-07-11_14-03-31,320*240,259,7.96214
-------------------------,Round_14,-------------------------,-------------------------
2024-07-11_14-16-32,320*240,252,6.04446
2024-07-11_14-14-24,320*240,212,13.1908
2024-07-10_15-40-03,320*240,319,12.628
2024-07-10_15-51-48,320*240,101,23.3383
2024-07-10_15-52-36,320*240,103,2.85032
2024-07-10_15-43-56,320*240,258,0.650805
2024-07-11_14-12-14,320*240,283,29.3099
2024-07-11_14-19-12,320*240,138,6.3736
2024-07-10_15-44-58,320*240,159,10.1881
2024-07-11_14-02-35,320*240,449,5.51129
2024-07-11_14-10-53,320*240,402,3.61667
2024-07-10_15-40-53,320*240,206,2.32596
2024-07-10_15-54-07,320*240,147,10.3595
2024-07-11_14-13-12,320*240,278,7.09514
2024-07-11_14-05-35,320*240,216,20.3699
2024-07-11_14-17-18,320*240,227,7.62954
2024-07-10_15-53-12,320*240,140,8.54787
2024-07-11_14-06-07,320*240,265,2.69641
2024-07-10_15-51-45,320*240,101,19.4525
2024-07-10_15-38-54,320*240,256,16.4281
2024-07-10_15-51-21,320*240,89,30.3246
2024-07-11_14-04-22,320*240,389,7.63862
2024-07-11_14-17-59,320*240,191,2.65256
2024-07-10_15-52-37,320*240,86,3.6711
2024-07-10_15-50-55,320*240,129,20.521
2024-07-10_15-48-15,320*240,142,2.90397
2024-07-10_15-43-03,320*240,144,8.40359
2024-07-11_14-15-08,320*240,189,9.6823
2024-07-11_14-13-51,320*240,213,5.37674
2024-07-11_14-18-28,320*240,181,15.0451
2024-07-10_15-41-46,320*240,254,4.88322
2024-07-11_14-03-31,320*240,291,4.96072
-------------------------,Round_15,-------------------------,-------------------------
2024-07-11_14-16-32,320*240,212,9.88425
2024-07-11_14-14-24,320*240,212,13.1908
2024-07-10_15-40-03,320*240,347,7.46747
2024-07-10_15-51-48,320*240,110,11.068
2024-07-10_15-52-36,320*240,120,3.34192
2024-07-10_15-43-56,320*240,218,1.39596
2024-07-11_14-12-14,320*240,237,22.9474
2024-07-11_14-19-12,320*240,156,6.20865
2024-07-10_15-44-58,320*240,172,12.4237
2024-07-11_14-02-35,320*240,431,6.61201
2024-07-11_14-10-53,320*240,363,4.70534
2024-07-10_15-40-53,320*240,208,3.0132
2024-07-10_15-54-07,320*240,140,13.9503
2024-07-11_14-13-12,320*240,282,12.4116
2024-07-11_14-05-35,320*240,233,22.7671
2024-07-11_14-17-18,320*240,227,7.62954
2024-07-10_15-53-12,320*240,140,8.21707
2024-07-11_14-06-07,320*240,248,5.64982
2024-07-10_15-51-45,320*240,95,3.67666
2024-07-10_15-38-54,320*240,270,20.8794
2024-07-10_15-51-21,320*240,95,34.5646
2024-07-11_14-04-22,320*240,331,5.50765
2024-07-11_14-17-59,320*240,161,3.16473
2024-07-10_15-52-37,320*240,110,5.69385
2024-07-10_15-50-55,320*240,133,9.06925
2024-07-10_15-48-15,320*240,140,12.1981
2024-07-10_15-43-03,320*240,167,2.17057
2024-07-11_14-15-08,320*240,166,10.1907
2024-07-11_14-13-51,320*240,237,8.52513
2024-07-11_14-18-28,320*240,192,5.45458
2024-07-10_15-41-46,320*240,252,2.89862
2024-07-11_14-03-31,320*240,284,6.3459
-------------------------,Round_16,-------------------------,-------------------------
2024-07-11_14-16-32,320*240,252,6.04446
2024-07-11_14-14-24,320*240,191,7.69678
2024-07-10_15-40-03,320*240,346,7.37331
2024-07-10_15-51-48,320*240,116,10.7017
2024-07-10_15-52-36,320*240,102,6.84439
2024-07-10_15-43-56,320*240,254,0.830787
2024-07-11_14-12-14,320*240,308,22.1518
2024-07-11_14-19-12,320*240,138,6.39932
2024-07-10_15-44-58,320*240,151,10.8552
2024-07-11_14-02-35,320*240,450,5.45811
2024-07-11_14-10-53,320*240,403,3.62542
2024-07-10_15-40-53,320*240,234,3.06342
2024-07-10_15-54-07,320*240,147,10.3595
2024-07-11_14-13-12,320*240,278,7.09514
2024-07-11_14-05-35,320*240,215,20.1968
2024-07-11_14-17-18,320*240,194,6.94291
2024-07-10_15-53-12,320*240,150,11.0994
2024-07-11_14-06-07,320*240,271,1.40758
2024-07-10_15-51-45,320*240,101,19.4525
2024-07-10_15-38-54,320*240,256,16.2908
2024-07-10_15-51-21,320*240,93,47.1271
2024-07-11_14-04-22,320*240,370,6.28607
2024-07-11_14-17-59,320*240,173,1.89489
2024-07-10_15-52-37,320*240,103,6.26588
2024-07-10_15-50-55,320*240,137,12.5949
2024-07-10_15-48-15,320*240,136,7.79357
2024-07-10_15-43-03,320*240,144,8.40359
2024-07-11_14-15-08,320*240,185,6.9475
2024-07-11_14-13-51,320*240,234,6.02931
2024-07-11_14-18-28,320*240,200,10.7019
2024-07-10_15-41-46,320*240,233,5.79928
2024-07-11_14-03-31,320*240,291,4.96072
-------------------------,Round_17,-------------------------,-------------------------
2024-07-11_14-16-32,320*240,252,6.04446
2024-07-11_14-14-24,320*240,212,13.1908
2024-07-10_15-40-03,320*240,319,12.628
2024-07-10_15-51-48,320*240,101,23.3383
2024-07-10_15-52-36,320*240,108,3.13704
2024-07-10_15-43-56,320*240,254,0.830787
2024-07-11_14-12-14,320*240,252,21.1653
2024-07-11_14-19-12,320*240,141,13.8674
2024-07-10_15-44-58,320*240,171,14.8616
2024-07-11_14-02-35,320*240,432,6.58364
2024-07-11_14-10-53,320*240,402,3.61667
2024-07-10_15-40-53,320*240,206,2.32596
2024-07-10_15-54-07,320*240,140,13.9503
2024-07-11_14-13-12,320*240,278,7.09514
2024-07-11_14-05-35,320*240,232,22.7873
2024-07-11_14-17-18,320*240,194,6.94291
2024-07-10_15-53-12,320*240,150,11.0994
2024-07-11_14-06-07,320*240,289,4.39656
2024-07-10_15-51-45,320*240,101,19.4525
2024-07-10_15-38-54,320*240,257,16.2525
2024-07-10_15-51-21,320*240,99,12.1704
2024-07-11_14-04-22,320*240,331,5.50765
2024-07-11_14-17-59,320*240,174,1.95272
2024-07-10_15-52-37,320*240,110,4.68998
2024-07-10_15-50-55,320*240,117,20.2385
2024-07-10_15-48-15,320*240,138,8.73118
2024-07-10_15-43-03,320*240,144,8.40359
2024-07-11_14-15-08,320*240,165,10.2711
2024-07-11_14-13-51,320*240,225,8.4633
2024-07-11_14-18-28,320*240,173,9.10483
2024-07-10_15-41-46,320*240,233,5.79928
2024-07-11_14-03-31,320*240,291,4.96072
-------------------------,Round_18,-------------------------,-------------------------
2024-07-11_14-16-32,320*240,263,4.59966
2024-07-11_14-14-24,320*240,200,11.3884
2024-07-10_15-40-03,320*240,347,7.46747
2024-07-10_15-51-48,320*240,110,11.068
2024-07-10_15-52-36,320*240,120,3.34192
2024-07-10_15-43-56,320*240,222,2.20353
2024-07-11_14-12-14,320*240,308,22.1518
2024-07-11_14-19-12,320*240,156,6.20865
2024-07-10_15-44-58,320*240,162,16.2987
2024-07-11_14-02-35,320*240,431,6.61201
2024-07-11_14-10-53,320*240,354,5.16547
2024-07-10_15-40-53,320*240,192,3.55802
2024-07-10_15-54-07,320*240,129,15.582
2024-07-11_14-13-12,320*240,282,12.4116
2024-07-11_14-05-35,320*240,234,21.4293
2024-07-11_14-17-18,320*240,194,6.94291
