Image_Name,Inference_Time_Seconds,Features_Count
2024-07-11_14-16-32,0.014873,426
2024-07-11_14-14-24,0.010157,407
2024-07-10_15-40-03,0.010152,507
2024-07-10_15-51-48,0.010103,316
2024-07-10_15-52-36,0.010105,283
2024-07-10_15-43-56,0.010129,354
2024-07-11_14-12-14,0.010223,472
2024-07-11_14-19-12,0.010146,351
2024-07-10_15-44-58,0.010122,373
2024-07-11_14-02-35,0.010262,579
2024-07-11_14-10-53,0.010135,554
2024-07-10_15-40-53,0.010126,399
2024-07-10_15-54-07,0.010138,293
2024-07-11_14-13-12,0.010251,488
2024-07-11_14-05-35,0.010149,430
2024-07-11_14-17-18,0.010132,403
2024-07-10_15-53-12,0.010138,297
2024-07-11_14-06-07,0.010138,436
2024-07-10_15-51-45,0.010133,284
2024-07-10_15-38-54,0.010146,452
2024-07-10_15-51-21,0.010164,327
2024-07-11_14-04-22,0.010142,539
2024-07-11_14-17-59,0.010137,339
2024-07-10_15-52-37,0.010114,289
2024-07-10_15-50-55,0.010157,319
2024-07-10_15-48-15,0.010137,323
2024-07-10_15-43-03,0.010158,319
2024-07-11_14-15-08,0.010125,399
2024-07-11_14-13-51,0.010118,442
2024-07-11_14-18-28,0.010131,379
2024-07-10_15-41-46,0.010128,404
2024-07-11_14-03-31,0.010119,491
2024-07-11_14-16-32,0.014871,427
2024-07-11_14-14-24,0.010187,407
2024-07-10_15-40-03,0.010208,507
2024-07-10_15-51-48,0.010129,316
2024-07-10_15-52-36,0.01016,283
2024-07-10_15-43-56,0.010136,354
2024-07-11_14-12-14,0.010151,473
2024-07-11_14-19-12,0.010125,351
2024-07-10_15-44-58,0.01024,372
2024-07-11_14-02-35,0.010122,579
2024-07-11_14-10-53,0.010138,554
2024-07-10_15-40-53,0.010134,399
2024-07-10_15-54-07,0.010145,293
2024-07-11_14-13-12,0.010107,488
2024-07-11_14-05-35,0.010086,432
2024-07-11_14-17-18,0.010575,403
2024-07-10_15-53-12,0.010281,296
2024-07-11_14-06-07,0.010147,435
2024-07-10_15-51-45,0.010446,283
2024-07-10_15-38-54,0.01096,450
2024-07-10_15-51-21,0.010169,328
2024-07-11_14-04-22,0.010382,541
2024-07-11_14-17-59,0.010132,338
2024-07-10_15-52-37,0.010201,287
2024-07-10_15-50-55,0.010154,319
2024-07-10_15-48-15,0.010121,323
2024-07-10_15-43-03,0.010145,319
2024-07-11_14-15-08,0.010247,401
2024-07-11_14-13-51,0.010704,441
2024-07-11_14-18-28,0.010227,380
2024-07-10_15-41-46,0.010182,405
2024-07-11_14-03-31,0.010225,490
2024-07-11_14-16-32,0.01506,426
2024-07-11_14-14-24,0.01022,409
2024-07-10_15-40-03,0.010187,507
2024-07-10_15-51-48,0.010167,316
2024-07-10_15-52-36,0.010138,283
2024-07-10_15-43-56,0.010154,356
2024-07-11_14-12-14,0.010128,473
2024-07-11_14-19-12,0.010124,350
2024-07-10_15-44-58,0.010136,371
2024-07-11_14-02-35,0.010163,579
2024-07-11_14-10-53,0.010158,557
2024-07-10_15-40-53,0.010176,398
2024-07-10_15-54-07,0.010267,293
2024-07-11_14-13-12,0.010165,489
2024-07-11_14-05-35,0.010161,430
2024-07-11_14-17-18,0.010153,404
2024-07-10_15-53-12,0.010151,297
2024-07-11_14-06-07,0.010146,436
2024-07-10_15-51-45,0.010132,285
2024-07-10_15-38-54,0.010152,450
2024-07-10_15-51-21,0.010248,327
2024-07-11_14-04-22,0.010157,541
2024-07-11_14-17-59,0.010167,339
2024-07-10_15-52-37,0.01013,288
2024-07-10_15-50-55,0.010141,320
2024-07-10_15-48-15,0.01019,322
2024-07-10_15-43-03,0.010141,319
2024-07-11_14-15-08,0.010136,401
2024-07-11_14-13-51,0.010161,442
2024-07-11_14-18-28,0.010138,377
2024-07-10_15-41-46,0.01012,405
2024-07-11_14-03-31,0.010132,491
2024-07-11_14-16-32,0.014884,427
2024-07-11_14-14-24,0.010138,407
2024-07-10_15-40-03,0.010161,507
2024-07-10_15-51-48,0.010144,316
2024-07-10_15-52-36,0.010154,283
2024-07-10_15-43-56,0.010168,354
2024-07-11_14-12-14,0.010163,472
2024-07-11_14-19-12,0.010141,351
2024-07-10_15-44-58,0.010147,372
2024-07-11_14-02-35,0.010144,579
2024-07-11_14-10-53,0.01017,556
2024-07-10_15-40-53,0.01016,399
2024-07-10_15-54-07,0.010178,293
2024-07-11_14-13-12,0.010167,489
2024-07-11_14-05-35,0.010146,431
2024-07-11_14-17-18,0.010159,404
2024-07-10_15-53-12,0.010156,296
2024-07-11_14-06-07,0.010167,436
2024-07-10_15-51-45,0.010277,283
2024-07-10_15-38-54,0.010174,448
2024-07-10_15-51-21,0.010182,329
2024-07-11_14-04-22,0.010194,540
2024-07-11_14-17-59,0.010195,339
2024-07-10_15-52-37,0.010188,289
2024-07-10_15-50-55,0.01018,318
2024-07-10_15-48-15,0.010381,321
2024-07-10_15-43-03,0.01016,318
2024-07-11_14-15-08,0.010387,402
2024-07-11_14-13-51,0.010209,443
2024-07-11_14-18-28,0.010202,377
2024-07-10_15-41-46,0.010211,405
2024-07-11_14-03-31,0.010269,491
2024-07-11_14-16-32,0.014893,427
2024-07-11_14-14-24,0.010134,406
2024-07-10_15-40-03,0.010139,507
2024-07-10_15-51-48,0.010141,317
2024-07-10_15-52-36,0.010158,283
2024-07-10_15-43-56,0.010134,355
